age,workclass,education,marital-status,occupation,relationship,hours-per-week,capital-change,income
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,Capital-gain, <=50K
Young, Government, Some-college, Divorced, Adm-clerical, Unmarried,Less-workload,No-change, <=50K
Middle-age, Private, Some-college, Never-married, Exec-managerial, Not-in-family,Normal-workload,Capital-loss, >50K
Young, Private, Some-college, Never-married, Sales, Own-child,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Adm-clerical, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Self-emp-inc, HS-grad, Never-married, Craft-repair, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Low-education, Never-married, Other-service, Other-relative,Less-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Sales, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Sales, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-gain, >50K
Senior, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband,Normal-workload,Capital-loss, <=50K
Young, Private, HS-grad, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Sales, Husband,Less-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Farming-fishing, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,Capital-gain, <=50K
Middle-age, Government, HS-grad, Divorced, Prof-specialty, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Middle-age, Private, Assoc-acdm, Divorced, Exec-managerial, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Sales, Husband,Less-workload,No-change, <=50K
Middle-age, Private, Some-college, Divorced, Sales, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Senior, Government, HS-grad, Widowed, Other-service, Unmarried,Normal-workload,No-change, <=50K
Senior, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband,Less-workload,No-change, >50K
Middle-age, Private, Bachelors, Never-married, Sales, Unmarried,Over-workload,No-change, <=50K
Young, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-loss, >50K
Young, Private, Bachelors, Never-married, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Never-married, Prof-specialty, Not-in-family,Normal-workload,No-change, >50K
Middle-age, Private, Bachelors, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Some-college, Divorced, Adm-clerical, Other-relative,Normal-workload,No-change, <=50K
Senior, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,No-change, <=50K
Senior, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband,Over-workload,No-change, >50K
Middle-age, Government, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Senior, Government, Doctorate, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Assoc-acdm, Divorced, Machine-op-inspct, Own-child,Over-workload,No-change, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-loss, <=50K
Senior, Self-emp-not-inc, HS-grad, Widowed, Other-service, Other-relative,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Never-married, Craft-repair, Own-child,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Normal-workload,No-change, <=50K
Middle-age, Government, HS-grad, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,No-change, >50K
Middle-age, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, <=50K
Middle-age, Government, HS-grad, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,Capital-loss, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Senior, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family,Over-workload,No-change, <=50K
Young, Private, Bachelors, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Divorced, Adm-clerical, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, <=50K
Young, Private, Low-education, Divorced, Handlers-cleaners, Unmarried,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, >50K
Senior, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Young, Private, Low-education, Never-married, Sales, Own-child,Less-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Adm-clerical, Own-child,Less-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Sales, Wife,Less-workload,No-change, >50K
Senior, Government, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Sales, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife,Over-workload,Capital-gain, >50K
Young, Private, Some-college, Married-civ-spouse, Sales, Wife,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Never-married, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Middle-age, Government, Bachelors, Separated, Prof-specialty, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Married-civ-spouse, Other-service, Husband,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Separated, Craft-repair, Own-child,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Never-married, Machine-op-inspct, Other-relative,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Never-married, Craft-repair, Not-in-family,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Senior, Self-emp-not-inc, Low-education, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Young, Private, Bachelors, Never-married, Exec-managerial, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-spouse-absent, Machine-op-inspct, Not-in-family,Normal-workload,Capital-loss, <=50K
Middle-age, Private, Assoc-voc, Divorced, Sales, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Divorced, Tech-support, Not-in-family,Normal-workload,Capital-gain, >50K
Middle-age, Government, HS-grad, Married-civ-spouse, Protective-serv, Husband,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Young, Private, Some-college, Divorced, Adm-clerical, Own-child,Less-workload,No-change, <=50K
Young, Private, Low-education, Married-civ-spouse, Handlers-cleaners, Husband,Normal-workload,No-change, <=50K
Young, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Sales, Husband,Normal-workload,Capital-loss, >50K
Middle-age, Government, HS-grad, Divorced, Adm-clerical, Unmarried,Normal-workload,No-change, <=50K
Young, Government, Some-college, Never-married, Tech-support, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband,Over-workload,Capital-loss, >50K
Middle-age, Government, Prof-school, Divorced, Prof-specialty, Unmarried,Normal-workload,No-change, >50K
Middle-age, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Separated, Prof-specialty, Not-in-family,Less-workload,No-change, <=50K
Young, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Divorced, Prof-specialty, Unmarried,Over-workload,No-change, <=50K
Young, Private, Bachelors, Never-married, Sales, Not-in-family,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Never-married, Machine-op-inspct, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Divorced, Priv-house-serv, Unmarried,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-acdm, Never-married, Other-service, Other-relative,Less-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,Capital-loss, <=50K
Senior, Private, Some-college, Married-civ-spouse, Sales, Husband,Over-workload,No-change, >50K
Senior, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Middle-age, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child,Normal-workload,No-change, <=50K
Young, Private, Assoc-acdm, Never-married, Transport-moving, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, >50K
Senior, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, <=50K
Middle-age, Government, Assoc-voc, Married-civ-spouse, Transport-moving, Husband,Normal-workload,Capital-gain, >50K
Senior, Private, HS-grad, Divorced, Other-service, Not-in-family,Less-workload,No-change, <=50K
Senior, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband,Less-workload,No-change, <=50K
Young, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, <=50K
Senior, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Senior, Private, Some-college, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, <=50K
Senior, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband,Over-workload,No-change, <=50K
Young, Private, Bachelors, Never-married, Sales, Other-relative,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife,Normal-workload,No-change, <=50K
Middle-age, Private, Masters, Divorced, Exec-managerial, Not-in-family,Over-workload,No-change, >50K
Middle-age, Private, HS-grad, Divorced, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Less-workload,No-change, <=50K
Senior, Self-emp-not-inc, Low-education, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Senior, Government, Some-college, Married-civ-spouse, Other-service, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Middle-age, Private, HS-grad, Divorced, Sales, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Masters, Divorced, Prof-specialty, Unmarried,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,No-change, <=50K
Young, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband,Normal-workload,No-change, <=50K
Senior, Government, Low-education, Divorced, Adm-clerical, Not-in-family,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Other-service, Husband,Less-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, >50K
Senior, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Less-workload,No-change, >50K
Young, Private, Low-education, Never-married, Priv-house-serv, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband,Over-workload,Capital-loss, >50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,Capital-gain, >50K
Young, Private, Masters, Never-married, Priv-house-serv, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Government, HS-grad, Divorced, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife,Over-workload,No-change, >50K
Middle-age, Private, Assoc-acdm, Never-married, Craft-repair, Own-child,Normal-workload,No-change, <=50K
Senior, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, <=50K
Young, Private, HS-grad, Married-civ-spouse, Other-service, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Divorced, Adm-clerical, Not-in-family,Over-workload,No-change, <=50K
Senior, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, <=50K
Middle-age, Government, Some-college, Married-civ-spouse, Transport-moving, Husband,Normal-workload,Capital-loss, >50K
Young, Private, Bachelors, Never-married, Sales, Own-child,Less-workload,No-change, <=50K
Senior, Private, Low-education, Divorced, Other-service, Unmarried,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband,Normal-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family,Over-workload,No-change, <=50K
Senior, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband,Less-workload,No-change, <=50K
Senior, Private, Low-education, Divorced, Craft-repair, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, <=50K
Young, Private, Assoc-acdm, Never-married, Sales, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Some-college, Married-civ-spouse, Sales, Husband,Less-workload,No-change, >50K
Young, Private, HS-grad, Never-married, Sales, Own-child,Over-workload,No-change, <=50K
Senior, Government, Low-education, Married-civ-spouse, Transport-moving, Husband,Less-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Craft-repair, Own-child,Normal-workload,No-change, <=50K
Senior, Private, Bachelors, Widowed, Machine-op-inspct, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Widowed, Adm-clerical, Unmarried,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Senior, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband,Less-workload,No-change, >50K
Senior, Private, Assoc-voc, Married-civ-spouse, Tech-support, Husband,Normal-workload,Capital-gain, >50K
Middle-age, Private, HS-grad, Never-married, Other-service, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Government, Doctorate, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Middle-age, Private, Low-education, Divorced, Handlers-cleaners, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Separated, Other-service, Not-in-family,Less-workload,No-change, <=50K
Senior, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, <=50K
Senior, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Not-in-family,Less-workload,Capital-loss, <=50K
Middle-age, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband,Over-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Not-in-family,Less-workload,No-change, <=50K
Middle-age, Government, Some-college, Never-married, Other-service, Own-child,Over-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Prof-specialty, Other-relative,Less-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Other-service, Husband,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Low-education, Never-married, Handlers-cleaners, Other-relative,Less-workload,No-change, <=50K
Middle-age, Government, HS-grad, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Handlers-cleaners, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,No-change, <=50K
Young, Government, Masters, Never-married, Prof-specialty, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Government, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband,Normal-workload,No-change, <=50K
Young, Private, Some-college, Married-civ-spouse, Transport-moving, Husband,Over-workload,No-change, <=50K
Middle-age, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family,Normal-workload,Capital-loss, <=50K
Young, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife,Over-workload,No-change, >50K
Middle-age, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-gain, >50K
Middle-age, Private, Some-college, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Senior, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, >50K
Senior, Government, Some-college, Never-married, Prof-specialty, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Never-married, Craft-repair, Own-child,Normal-workload,No-change, >50K
Senior, Private, Low-education, Married-civ-spouse, Other-service, Wife,Over-workload,No-change, <=50K
Senior, Private, Low-education, Divorced, Machine-op-inspct, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife,Less-workload,No-change, >50K
Middle-age, Government, HS-grad, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,No-change, >50K
Young, Private, Low-education, Never-married, Priv-house-serv, Unmarried,Less-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Other-service, Husband,Less-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-spouse-absent, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-loss, >50K
Middle-age, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Young, Private, Some-college, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Senior, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,Capital-gain, >50K
Senior, Private, HS-grad, Never-married, Craft-repair, Unmarried,Normal-workload,No-change, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Sales, Husband,Over-workload,No-change, >50K
Young, Private, Masters, Married-civ-spouse, Prof-specialty, Wife,Normal-workload,No-change, >50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Less-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Transport-moving, Not-in-family,Over-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, Low-education, Never-married, Prof-specialty, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Other-service, Husband,Normal-workload,No-change, <=50K
Senior, Government, Bachelors, Divorced, Other-service, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-acdm, Divorced, Transport-moving, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Government, Bachelors, Married-civ-spouse, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Masters, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-loss, >50K
Middle-age, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, <=50K
Senior, Government, Some-college, Married-civ-spouse, Transport-moving, Husband,Normal-workload,No-change, <=50K
Middle-age, Government, Assoc-voc, Married-civ-spouse, Tech-support, Husband,Over-workload,No-change, >50K
Middle-age, Private, HS-grad, Never-married, Farming-fishing, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Craft-repair, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Government, Bachelors, Divorced, Protective-serv, Not-in-family,Over-workload,No-change, >50K
Middle-age, Private, Masters, Married-civ-spouse, Craft-repair, Husband,Over-workload,Capital-gain, >50K
Young, Private, HS-grad, Never-married, Other-service, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife,Normal-workload,No-change, >50K
Middle-age, Private, HS-grad, Never-married, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Prof-specialty, Own-child,Less-workload,No-change, <=50K
Young, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Widowed, Other-service, Not-in-family,Less-workload,No-change, <=50K
Young, Private, HS-grad, Married-civ-spouse, Tech-support, Other-relative,Normal-workload,No-change, <=50K
Middle-age, Private, Prof-school, Never-married, Prof-specialty, Not-in-family,Normal-workload,No-change, >50K
Middle-age, Private, Some-college, Married-civ-spouse, Tech-support, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Divorced, Other-service, Unmarried,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Craft-repair, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Never-married, Exec-managerial, Not-in-family,Over-workload,Capital-loss, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Masters, Divorced, Exec-managerial, Not-in-family,Over-workload,Capital-gain, >50K
Middle-age, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Married-civ-spouse, Transport-moving, Husband,Normal-workload,No-change, <=50K
Senior, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-gain, >50K
Middle-age, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband,Over-workload,Capital-gain, >50K
Young, Self-emp-not-inc, HS-grad, Never-married, Other-service, Not-in-family,Less-workload,No-change, <=50K
Middle-age, Government, Some-college, Married-civ-spouse, Protective-serv, Husband,Over-workload,No-change, >50K
Senior, Government, Masters, Married-civ-spouse, Exec-managerial, Wife,Normal-workload,Capital-gain, >50K
Senior, Private, HS-grad, Widowed, Prof-specialty, Not-in-family,Less-workload,No-change, <=50K
Young, Private, Assoc-voc, Never-married, Other-service, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Never-married, Farming-fishing, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, >50K
Middle-age, Private, HS-grad, Divorced, Sales, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Divorced, Adm-clerical, Unmarried,Normal-workload,Capital-gain, >50K
Middle-age, Private, Some-college, Never-married, Sales, Unmarried,Normal-workload,No-change, <=50K
Young, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband,Over-workload,No-change, >50K
Middle-age, Private, HS-grad, Never-married, Sales, Own-child,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Normal-workload,No-change, <=50K
Senior, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, >50K
Middle-age, Government, Some-college, Married-civ-spouse, Protective-serv, Husband,Over-workload,No-change, >50K
Middle-age, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Young, Private, Low-education, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Never-married, Farming-fishing, Not-in-family,Less-workload,No-change, <=50K
Middle-age, Private, Bachelors, Never-married, Exec-managerial, Unmarried,Normal-workload,No-change, <=50K
Senior, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Less-workload,Capital-gain, >50K
Young, Private, Bachelors, Never-married, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Handlers-cleaners, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Other-service, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, >50K
Middle-age, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family,Over-workload,No-change, <=50K
Young, Government, Some-college, Never-married, Handlers-cleaners, Own-child,Normal-workload,No-change, <=50K
